# Copyright (c) 1966-2023 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2023-08-27
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)					
616641	gene	50862	RNF141	ENSG00000110315
616642	gene	221477	C6orf89	ENSG00000198663
616643	gene	50810	HDGFL3	ENSG00000166503
616644	gene	50624	CUZD1	ENSG00000138161
616645	phenotype			
616646	gene	147183	KRT25	ENSG00000204897
616647	phenotype			
616648	phenotype	106783499		
616649	phenotype			
616650	gene	23247	KATNIP	ENSG00000047578
616651	phenotype			
616652	phenotype			
616653	gene	25957	PNISR	ENSG00000132424
616654	phenotype			
616655	gene	23094	SIPA1L3	ENSG00000105738
616656	gene	54951	COMMD8	ENSG00000169019
616657	phenotype			
616658	gene	125988	MICOS13	ENSG00000174917
616659	gene	79735	TBC1D17	ENSG00000104946
616660	gene	84286	TMEM175	ENSG00000127419
616661	gene	22880	MORC2	ENSG00000133422
616662	gene	55623	THUMPD1	ENSG00000066654
616663	gene	727676	SNORD118	ENSG00000200463
616664	gene	692084	SNORD13	ENSG00000239039
616665	gene	6856	SYPL1	ENSG00000008282
616666	gene	124925	SEZ6	ENSG00000063015
616667	gene	26470	SEZ6L2	ENSG00000174938
616668	phenotype			
616669	phenotype			
616670	gene	23344	ESYT1	ENSG00000139641
616671	gene	51350	KRT76	ENSG00000185069
616672	phenotype			
616673	gene	220134	SKA1	ENSG00000154839
616674	gene	348235	SKA2	ENSG00000182628
616675	gene	353288	KRT26	ENSG00000186393
616676	gene	342574	KRT27	ENSG00000171446
616677	gene	162605	KRT28	ENSG00000173908
616678	gene	390792	KRT39	ENSG00000196859
616679	gene	125115	KRT40	ENSG00000204889
616680	phenotype			
616681	phenotype			
616682	phenotype			
616683	phenotype			
616684	phenotype			
616685	phenotype			
616686	gene	10492	SYNCRIP	ENSG00000135316
616687	phenotype			
616688	phenotype			
616689	phenotype			
616690	gene	9731	CEP104	ENSG00000116198
616691	gene	57488	ESYT2	ENSG00000117868
616692	gene	83850	ESYT3	ENSG00000158220
616693	gene	51802	ASIC5	ENSG00000256394
616694	gene	23392	ECPAS	ENSG00000136813
616695	gene	51657	STYXL1	ENSG00000127952
616696	gene	9674	KIAA0040	ENSG00000235750
616697	phenotype			
616698	gene	51042	ZNF593	ENSG00000142684
616699	gene	51122	COMMD2	ENSG00000114744
616700	gene	23412	COMMD3	ENSG00000148444
616701	gene	54939	COMMD4	ENSG00000140365
616702	gene	51385	ZNF589	ENSG00000164048
616703	gene	149951	COMMD7	ENSG00000149600
616704	gene	51397	COMMD10	ENSG00000145781
616705	phenotype			
616706	gene	57097	PARP11	ENSG00000111224
616707	phenotype			
616708	phenotype			
616709	gene	51146	A4GNT	ENSG00000118017
616710	phenotype			
616711	gene	51347	TAOK3	ENSG00000135090
616712	gene	56910	STARD7	ENSG00000084090
616713	gene	51268	PIPOX	ENSG00000179761
616714	gene	26959	HBP1	ENSG00000105856
616715	gene	51075	TMX2	ENSG00000213593
616716	phenotype			
616717	gene	54881	TEX10	ENSG00000136891
616718	gene	51335	NGRN	ENSG00000182768
616719	phenotype			
616720	phenotype			
616721	phenotype			
616722	phenotype			
616723	phenotype			
616724	phenotype			
616725	gene	91351	DDX60L	ENSG00000181381
616726	phenotype			
616727	gene	112885	PHF21B	ENSG00000056487
616728	phenotype			
616729	gene	343171	OR2W3	ENSG00000238243
616730	phenotype			
616731	gene	341676	NEK5	ENSG00000197168
616732	phenotype			
616733	phenotype			
616734	phenotype			
616735	gene	51244	CCDC174	ENSG00000154781
616736	phenotype			
616737	phenotype			
616738	phenotype			
616739	phenotype			
616740	phenotype			
616741	gene	59336	PRDM13	ENSG00000112238
616742	gene	51602	NOP58	ENSG00000055044
616743	gene	57139	RGL3	ENSG00000205517
616744	phenotype			
616745	gene	91272	BOD1	ENSG00000145919
616746	gene	259282	BOD1L1	ENSG00000038219
616747	gene	56994	CHPT1	ENSG00000111666
616748	gene	377841	ENTPD8	ENSG00000188833
616749	phenotype			
616750	gene	84287	ZDHHC16	ENSG00000171307
616751	gene	10390	CEPT1	ENSG00000134255
616752	gene	51617	NSG2	ENSG00000170091
616753	gene	57089	ENTPD7	ENSG00000198018
616754	phenotype			
616755	gene	55223	TRIM62	ENSG00000116525
616756	phenotype			
616757	gene	129303	TMEM150A	ENSG00000168890
616758	gene	126695	KDF1	ENSG00000175707
616759	gene	51070	NOSIP	ENSG00000142546
616760	phenotype			
616761	gene	9766	SUSD6	ENSG00000100647
616762	gene	126731	CCSAP	ENSG00000154429
616763	phenotype			
616764	gene	283537	SLC46A3	ENSG00000139508
616765	gene	148398	SAMD11	ENSG00000187634
616766	gene	56255	TMX4	ENSG00000125827
616767	gene	84290	CAPNS2	ENSG00000256812
616768	gene	347688	TUBB8	ENSG00000261456
616769	gene	56954	NIT2	ENSG00000114021
616770	gene	407000	MIR218-1	ENSG00000207732
616771	gene	407001	MIR218-2	ENSG00000207739
616772	gene	57134	MAN1C1	ENSG00000117643
616773	gene	374986	MIGA1	ENSG00000180488
616774	gene	84895	MIGA2	ENSG00000148343
616775	gene	257101	ZNF683	ENSG00000176083
616776	gene	128853	DUSP15	ENSG00000149599
616777	phenotype			
616778	gene	56940	DUSP22	ENSG00000112679
616779	phenotype			
616780	phenotype			
616781	phenotype			
616782	gene	51301	GCNT4	ENSG00000176928
616783	gene	127733	UBXN10	ENSG00000162543
616784	phenotype			
616785	gene	57157	PHTF2	ENSG00000006576
616786	gene	23005	MAPKBP1	ENSG00000137802
616787	gene	23059	CLUAP1	ENSG00000103351
616788	phenotype			
616789	phenotype			
616790	gene	57718	PPP4R4	ENSG00000119698
616791	gene	79605	PGBD5	ENSG00000177614
616792	phenotype	107181289		
616793	gene	64600	PLA2G2F	ENSG00000158786
616794	phenotype			
616795	phenotype			
616796	gene	57665	RDH14	ENSG00000240857
616797	gene	22979	EFR3B	ENSG00000084710
616798	gene	140612	ZFP28	ENSG00000196867
616799	gene	221711	SYCP2L	ENSG00000153157
616800	gene	100287616	LOXL1-AS1	ENSG00000261801
616801	phenotype			
616802	gene	441864	TARM1	ENSG00000248385
616803	phenotype			
616804	gene	284415	VSTM1	ENSG00000189068
616805	gene	80177	MYCT1	ENSG00000120279
616806	phenotype			
616807	gene	85302	FBF1	ENSG00000188878
616808	gene	55337	SHFL	ENSG00000130813
616809	phenotype			
616810	gene	57722	IGDCC4	ENSG00000103742
616811	phenotype			
616812	phenotype			
616813	gene	116988	AGAP3	ENSG00000133612
616814	phenotype			
616815	gene	147007	TMEM199	ENSG00000244045
616816	phenotype			
616817	phenotype			
616818	phenotype			
616819	phenotype			
616820	gene	64779	MTHFSD	ENSG00000103248
616821	gene	55901	THSD1	ENSG00000136114
616822	gene	23041	MON2	ENSG00000061987
616823	gene	23033	DOP1A	ENSG00000083097
616824	gene	388610	TRNP1	ENSG00000253368
616825	gene	57727	NCOA5	ENSG00000124160
616826	gene	58513	EPS15L1	ENSG00000127527
616827	phenotype			
616828	phenotype			
616829	phenotype			
616830	gene	128989	TANGO2	ENSG00000183597
616831	phenotype			
616832	gene	127294	MYOM3	ENSG00000142661
616833	phenotype			
616834	phenotype			
616835	phenotype			
616836	gene	55105	GPATCH2	ENSG00000092978
616837	gene	112590798		ENSG00000280707
616838	gene	388512	CLEC17A	ENSG00000187912
616839	phenotype			
616840	phenotype			
616841	gene	90333	ZNF468	ENSG00000204604
616842	gene	111365204		
616843	phenotype			
616844	gene	55192	DNAJC17	ENSG00000104129
616845	gene	161198	CLEC14A	ENSG00000176435
616846	gene	23065	EMC1	ENSG00000127463
616847	gene	125919	ZNF543	ENSG00000178229
616848	gene	57708	MIER1	ENSG00000198160
616849	phenotype			
616850	gene	84292	WDR83	ENSG00000123154
616851	phenotype			
616852	phenotype			
616853	gene	554282	FAM72C	ENSG00000263513
616854	phenotype			
616855	gene	341947	COX8C	ENSG00000187581
616856	gene	27154	BRPF3	ENSG00000096070
616857	gene	22802	CLCA4	ENSG00000016602
616858	phenotype			
616859	phenotype			
616860	phenotype			
616861	gene	56996	SLC12A9	ENSG00000146828
616862	gene	6164	RPL34	ENSG00000109475
616863	phenotype			
616864	gene	284004	HEXD	ENSG00000169660
616865	gene	64895	PAPOLG	ENSG00000115421
616866	phenotype			
616867	phenotype			
616868	phenotype			
616869	gene	255919	CNEP1R1	ENSG00000205423
616870	gene	28978	TMEM14A	ENSG00000096092
616871	phenotype			
616872	gene	56889	TM9SF3	ENSG00000077147
616873	phenotype			
616874	gene	51643	TMBIM4	ENSG00000155957
616875	phenotype			
616876	gene	50999	TMED5	ENSG00000117500
616877	gene	252839	TMEM9	ENSG00000116857
616878	phenotype			
616879	gene	25771	TBC1D22A	ENSG00000054611
616880	gene	55633	TBC1D22B	ENSG00000065491
616881	phenotype			
616882	phenotype			
616883	gene	58477	SRPRB	ENSG00000144867
616884	gene	57578	UNC79	ENSG00000133958
616885	gene	23589	CARHSP1	ENSG00000153048
616886	gene	23199	GSE1	ENSG00000131149
616887	phenotype			
616888	gene	51754	TMEM8B	ENSG00000137103
616889	gene	23177	CEP68	ENSG00000011523
616890	phenotype			
616891	gene	100507537	STRIT1	ENSG00000240045
616892	phenotype			
616893	phenotype			
616894	phenotype			
616895	gene	101927152	SAMMSON	ENSG00000240405
616896	phenotype			
616897	phenotype			
616898	phenotype			
616899	gene	93627	TBCK	ENSG00000145348
616900	phenotype			
616901	phenotype			
616902	phenotype			
616903	phenotype			
616904	gene	80005	DOCK5	ENSG00000147459
616905	gene	93621	MRFAP1	ENSG00000179010
616906	gene	55259	DNAI7	ENSG00000118307
616907	phenotype			
616908	gene	442213	PTCHD4	ENSG00000244694
616909	gene	80323	CCDC68	ENSG00000166510
616910	phenotype			
616911	phenotype			
616912	gene	51466	EVL	ENSG00000196405
616913	phenotype			
616914	phenotype			
616915	moved/removed			
616916	gene	64744	SMAP2	ENSG00000084070
616917	phenotype			
616918	gene	54872	PIGG	ENSG00000174227
616919	gene	22844	FRMPD1	ENSG00000070601
616920	phenotype			
616921	phenotype			
616922	phenotype			
616923	gene	388591	RNF207	ENSG00000158286
616924	phenotype			
616925	gene	55449	DHRS4-AS1	ENSG00000215256
616926	gene	53828	FXYD4	ENSG00000150201
616927	gene	90332	EXOC3L2	ENSG00000283632
616928	gene	55076	TMEM45A	ENSG00000181458
616929	gene	80298	MTERF2	ENSG00000120832
616930	gene	51001	MTERF3	ENSG00000156469
616931	gene	84750	FUT10	ENSG00000172728
616932	gene	170384	FUT11	ENSG00000196968
616933	gene	84248	FYTTD1	ENSG00000122068
616934	gene	284071	MEIOC	ENSG00000180336
616935	gene	23197	FAF2	ENSG00000113194
616936	gene	80205	CHD9	ENSG00000177200
616937	phenotype			
616938	phenotype			
616939	phenotype			
616940	gene	55218	EXD2	ENSG00000081177
616941	phenotype			
616942	gene	10954	PDIA5	ENSG00000065485
616943	phenotype			
616944	phenotype			
616945	gene	134829	CLVS2	ENSG00000146352
616946	phenotype			
616947	phenotype			
616948	phenotype			
616949	phenotype			
616950	phenotype			
616951	gene	92154	MTSS2	ENSG00000132613
616952	gene	63933	MCUR1	ENSG00000050393
616953	gene	51596	CUTA	ENSG00000112514
616954	phenotype			
616955	gene	161253	REM2	ENSG00000139890
616956	gene	122664	TPPP2	ENSG00000179636
616957	gene	51673	TPPP3	ENSG00000159713
616958	moved/removed			
616959	phenotype			
616960	gene	474344	GIMAP6	ENSG00000133561
616961	gene	168537	GIMAP7	ENSG00000179144
616962	gene	155038	GIMAP8	ENSG00000171115
616963	phenotype			
616964	moved/removed			
616965	gene	221188	ADGRG5	ENSG00000159618
616966	gene	57406	ABHD6	ENSG00000163686
616967	gene	84817	TXNDC17	ENSG00000129235
616968	phenotype			
616969	phenotype			
616970	gene	83742	MARVELD1	ENSG00000155254
616971	gene	51614	ERGIC3	ENSG00000125991
616972	gene	574443	MIR490	ENSG00000207597
616973	phenotype			
616974	phenotype			
616975	phenotype			
616976	gene	135644	TRIM40	ENSG00000204614
616977	phenotype			
616978	gene	84269	CHCHD5	ENSG00000125611
616979	gene	401124	DTHD1	ENSG00000197057
616980	gene	78996	CYREN	ENSG00000122783
616981	phenotype			
616982	gene	93166	PRDM6	ENSG00000061455
616983	gene	133121	ENPP6	ENSG00000164303
616984	gene	64111	NPVF	ENSG00000105954
616985	gene	100462977	MTRNR2L1	
616986	gene			
616987	gene	387263	C6orf120	ENSG00000185127
616988	gene	574028	CLLU1	ENSG00000257127
616989	gene	574016	CLLU1-AS1	ENSG00000205057
616990	gene	27098	CLUL1	ENSG00000079101
616991	gene	394263	MUC21	ENSG00000204544
616992	gene	100507249	C8orf17	ENSG00000250733
616993	gene	79161	TMEM243	ENSG00000135185
616994	phenotype			
616995	gene	85457	CIPC	ENSG00000198894
616996	gene	81844	TRIM56	ENSG00000169871
616997	gene	339221	ENPP7	ENSG00000182156
616998	gene	84298	LLPH	ENSG00000139233
616999	gene	146713	RBFOX3	ENSG00000167281
617000	gene	22875	ENPP4	ENSG00000001561
617001	gene	59084	ENPP5	ENSG00000112796
617002	gene	92558	BICDL1	ENSG00000135127
617003	gene	146439	BICDL2	ENSG00000162069
617004	phenotype			
617005	gene	26285	CLDN17	ENSG00000156282
617006	phenotype			
617007	gene	23087	TRIM35	ENSG00000104228
617008	phenotype			
617009	gene	79998	ANKRD53	ENSG00000144031
617010	gene	54986	ULK4	ENSG00000168038
617011	phenotype			
617012	gene	79037	PVRIG	ENSG00000213413
617013	phenotype			
617014	phenotype			
617015	gene	257068	PLCXD2	ENSG00000240891
617016	gene	345557	PLCXD3	ENSG00000182836
617017	phenotype			
617018	phenotype			
617019	gene	29058	TMEM230	ENSG00000089063
617020	phenotype			
617021	phenotype			
617022	phenotype			
617023	phenotype			
617024	phenotype			
617025	phenotype			
617026	phenotype			
617027	phenotype			
617028	phenotype			
617029	gene	10509	SEMA4B	ENSG00000185033
617030	phenotype			
617031	gene	84950	PRPF38A	ENSG00000134748
617032	gene	80162	PGGHG	ENSG00000142102
617033	gene	729438	CASTOR2	ENSG00000274070
617034	gene	652968	CASTOR1	ENSG00000239282
617035	phenotype			
617036	gene	55331	ACER3	ENSG00000078124
617037	gene	647979	NORAD	ENSG00000260032
617038	gene	100505663	LINC01370	
617039	phenotype			
617040	gene	100302158	MIR1231	ENSG00000221028
617041	phenotype			
617042	gene	79792	GSDMD	ENSG00000104518
617043	gene	9828	ARHGEF17	ENSG00000110237
617044	phenotype			
617045	gene	80139	ZNF703	ENSG00000183779
617046	phenotype			
617047	phenotype			
617048	gene	134218	DNAJC21	ENSG00000168724
617049	phenotype			
617050	phenotype			
617051	phenotype			
617052	phenotype			
617053	phenotype			
617054	phenotype			
617055	phenotype			
617056	phenotype			
617057	gene	348180	CTU2	ENSG00000174177
617058	gene	115939	TSR3	ENSG00000007520
617059	gene	57683	ZDBF2	ENSG00000204186
617060	gene	197021	LCTL	ENSG00000188501
617061	phenotype			
617062	phenotype			
617063	phenotype			
617064	gene	60558	GUF1	ENSG00000151806
617065	phenotype			
617066	phenotype			
617067	gene	646627	LYPD8	ENSG00000259823
617068	phenotype			
617069	phenotype			
617070	phenotype			
617071	gene			
617072	phenotype			
617073	phenotype			
617074	gene	140775	SMCR8	ENSG00000176994
617075	phenotype			
617076	gene	63943	FKBPL	ENSG00000204315
617077	gene	114991	ZNF618	ENSG00000157657
617078	gene	162989	DEDD2	ENSG00000160570
617079	gene	100499467	LINC00673	ENSG00000227036
617080	phenotype			
617081	gene	115209	OMA1	ENSG00000162600
617082	phenotype			
617083	gene	51626	DYNC2LI1	ENSG00000138036
617084	gene	9528	TMEM59	ENSG00000116209
617085	gene	387758	FIBIN	ENSG00000176971
617086	phenotype			
617087	phenotype			
617088	phenotype			
617089	gene	25871	NEPRO	ENSG00000163608
617090	phenotype			
617091	phenotype			
617092	phenotype			
617093	phenotype			
617094	gene	51098	IFT52	ENSG00000101052
617095	gene	83538	ODAD4	ENSG00000204815
617096	gene	25789	TMEM59L	ENSG00000105696
617097	gene	404663	LINC01194	
617098	gene	440400	RNASEK	ENSG00000219200
617099	phenotype			
617100	phenotype			
617101	phenotype			
617102	phenotype			
617103	gene	79759	ZNF668	ENSG00000167394
617104	gene	79837	PIP4K2C	ENSG00000166908
617105	phenotype			
617106	phenotype			
617107	phenotype			
617108	phenotype			
617109	gene	153222	CREBRF	ENSG00000164463
617110	gene	84131	CEP78	ENSG00000148019
617111	phenotype			
617112	gene	9851	KIAA0753	ENSG00000198920
617113	phenotype			
617114	phenotype			
617115	phenotype			
617116	phenotype			
617117	gene	284440	LINC00663	
617118	phenotype			
617119	phenotype			
617120	phenotype			
617121	phenotype			
617122	gene	542767	PCOTH	ENSG00000205861
617123	phenotype			
617124	gene	148811	PM20D1	ENSG00000162877
617125	phenotype			
617126	phenotype			
617127	phenotype			
617128	gene	388135	INSYN1	ENSG00000205363
617129	gene	642938	INSYN2A	ENSG00000188916
617130	gene	283129	MAJIN	ENSG00000168070
617131	gene	145645	TERB2	ENSG00000167014
617132	phenotype			
617133	phenotype			
617134	gene	55002	TMCO3	ENSG00000150403
617135	gene	91133	L3MBTL4	ENSG00000154655
617136	gene	109729173	TFAP2A-AS2	ENSG00000285278
617137	phenotype			
617138	gene	652991	SKOR2	ENSG00000215474
617139	gene	653499	LGALS7B	ENSG00000178934
617140	phenotype			
617141	phenotype			
617142	phenotype			
617143	phenotype			
617144	gene	541471	MIR4435-2HG	ENSG00000172965
617145	phenotype			
617146	phenotype			
617147	gene	64770	CCDC14	ENSG00000175455
617148	gene	159989	DEUP1	ENSG00000165325
617149	gene	123811	CEP20	ENSG00000133393
617150	gene	51304	ZDHHC3	ENSG00000163812
617151	gene	442038	SULT1C3	ENSG00000196228
617152	gene	391365	SULT6B1	ENSG00000138068
617153	phenotype			
617154	gene	51149	MRNIP	ENSG00000161010
617155	gene	9705	ST18	ENSG00000147488
617156	phenotype			
617157	phenotype			
617158	phenotype			
617159	phenotype			
617160	gene	150696	PROM2	ENSG00000155066
617161	gene	146395	GSG1L	ENSG00000169181
617162	phenotype			
617163	gene	54546	RNF186	ENSG00000178828
617164	phenotype			
617165	gene	84293	PRXL2A	ENSG00000122378
617166	phenotype			
617167	gene	159371	SLC35G1	ENSG00000176273
617168	phenotype			
617169	phenotype			
617170	gene	10283	CWC27	ENSG00000153015
617171	phenotype			
617172	gene	493869	GPX8	ENSG00000164294
617173	phenotype			
617174	phenotype			
617175	phenotype			
617176	gene	100422952	MIR4271	ENSG00000264633
617177	gene	93408	MYL10	ENSG00000106436
617178	gene	115992	RNF166	ENSG00000158717
617179	gene	101154753	PANDAR	ENSG00000281450
617180	phenotype			
617181	gene	147798	TMC4	ENSG00000167608
617182	phenotype			
617183	phenotype			
617184	phenotype			
617185	gene	79730	NSUN7	ENSG00000179299
617186	phenotype			
617187	phenotype			
617188	phenotype			
617189	gene	375346	STIMATE	ENSG00000213533
617190	phenotype			
617191	gene	378825	PICSAR	ENSG00000275874
617192	gene	80820	EEPD1	ENSG00000122547
617193	phenotype			
617194	phenotype			
617195	gene	389125	MUSTN1	ENSG00000272573
617196	gene	342125	TMC3	ENSG00000188869
617197	gene	79838	TMC5	ENSG00000103534
617198	gene	79905	TMC7	ENSG00000170537
617199	gene	221078	NSUN6	ENSG00000241058
617200	gene	93377	OPALIN	ENSG00000197430
617201	phenotype			
617202	gene	399823	FOXI2	ENSG00000186766
617203	gene	84910	TMEM87B	ENSG00000153214
617204	gene	400673	VMAC	ENSG00000187650
617205	phenotype			
617206	gene	93082	NEURL3	ENSG00000163121
617207	phenotype			
617208	gene	158056	MAMDC4	ENSG00000177943
617209	gene	55278	QRSL1	ENSG00000130348
617210	gene	283459	GATC	ENSG00000257218
617211	gene	93099	DMKN	ENSG00000161249
617212	gene	388533	KRTDAP	ENSG00000188508
617213	phenotype			
617214	phenotype			
617215	gene	124944	C17orf49	ENSG00000258315
617216	gene	147923	ZNF420	ENSG00000197050
617217	phenotype			
617218	gene	160418	TMTC3	ENSG00000139324
617219	phenotype			
617220	gene	79912	PYROXD1	ENSG00000121350
617221	gene	80201	HKDC1	ENSG00000156510
617222	phenotype			
617223	phenotype			
617224	gene	283431	GAS2L3	ENSG00000139354
617225	phenotype			
617226	gene	93487	MAPK1IP1L	ENSG00000168175
617227	gene	219293	ATAD3C	ENSG00000215915
617228	phenotype			
617229	gene	152877	FAM53A	ENSG00000174137
617230	gene	162239	ZFP1	ENSG00000184517
617231	gene	64077	LHPP	ENSG00000107902
617232	phenotype			
617233	gene	55100	WDR70	ENSG00000082068
617234	phenotype			
617235	phenotype			
617236	phenotype			
617237	phenotype			
617238	phenotype			
617239	phenotype			
617240	gene	79804	HAND2-AS1	ENSG00000237125
617241	phenotype			
617242	gene	253017	TECRL	ENSG00000205678
617243	phenotype			
617244	phenotype			
617245	gene	57520	HECW2	ENSG00000138411
617246	gene	286053	NSMCE2	ENSG00000156831
617247	phenotype			
617248	phenotype			
617249	gene	116224	PABIR1	ENSG00000187866
617250	gene	26059	ERC2	ENSG00000187672
617251	phenotype			
617252	phenotype			
617253	phenotype			
617254	gene	160492	LMNTD1	ENSG00000152936
617255	phenotype			
617256	gene	157724	SLC7A13	ENSG00000164893
617257	gene	284680	SPATA46	ENSG00000171722
617258	phenotype			
617259	gene	9730	DCAF1	ENSG00000145041
617260	phenotype			
617261	gene	90871	DMAC1	ENSG00000137038
617262	gene	55101	DMAC2	ENSG00000105341
617263	gene	197370	NSMCE1	ENSG00000169189
617264	gene	58506	SCAF1	ENSG00000126461
617265	gene	54793	KCTD9	ENSG00000104756
617266	gene	285600	KIAA0825	ENSG00000185261
617267	gene	79568	MAIP1	ENSG00000162972
617268	phenotype			
617269	gene	144481	SOCS2-AS1	ENSG00000246985
617270	phenotype			
617271	phenotype			
617272	phenotype			
617273	gene	137392	CIBAR1	ENSG00000188343
617274	gene	339145	CIBAR2	ENSG00000153789
617275	phenotype			
617276	phenotype			
617277	gene	144132	DNHD1	ENSG00000179532
617278	gene	23258	DENND5A	ENSG00000184014
617279	gene	160518	DENND5B	ENSG00000170456
617280	phenotype			
617281	phenotype			
617282	phenotype			
617283	gene	91746	YTHDC1	ENSG00000083896
617284	phenotype			
617285	gene	127540	HMGB4	ENSG00000176256
617286	gene	110231149	PANCR	ENSG00000250103
617287	gene	163404	PLPPR5	ENSG00000117598
617288	gene	84651	SPINK7	ENSG00000145879
617289	gene	9679	FAM53B	ENSG00000189319
617290	phenotype			
617291	gene	284417	TMEM150B	ENSG00000180061
617292	gene	441027	TMEM150C	ENSG00000249242
617293	gene	54587	MXRA8	ENSG00000162576
617294	phenotype			
617295	gene	154661	RUNDC3B	ENSG00000105784
617296	phenotype			
617297	phenotype			
617298	gene	150209	AIFM3	ENSG00000183773
617299	gene	84268	RPAIN	ENSG00000129197
617300	phenotype			
617301	phenotype			
617302	phenotype			
617303	phenotype			
617304	phenotype			
617305	gene	441168	CALHM6	ENSG00000188820
617306	phenotype			
617307	gene	317761	C14orf39	ENSG00000179008
617308	phenotype			
617309	gene	91156	IGFN1	ENSG00000163395
617310	gene	124401	ANKS3	ENSG00000168096
617311	gene	653808	ZG16	ENSG00000174992
617312	gene	57700	FHIP2A	ENSG00000151553
617313	gene	90525	SHF	ENSG00000138606
617314	gene	26751	SH3YL1	ENSG00000035115
617315	phenotype			
617316	gene	27296	TP53TG5	ENSG00000124251
617317	gene	22835	ZFP30	ENSG00000120784
617318	gene	23623	RUSC1	ENSG00000160753
617319	phenotype			
617320	phenotype			
617321	phenotype			
617322	gene	92799	SHKBP1	ENSG00000160410
617323	phenotype			
617324	gene	387914	SHISA2	ENSG00000180730
617325	gene	152573	SHISA3	ENSG00000178343
617326	gene	149345	SHISA4	ENSG00000198892
617327	gene	388336	SHISA6	ENSG00000188803
617328	gene	729956	SHISA7	ENSG00000187902
617329	gene	440829	SHISA8	ENSG00000234965
617330	phenotype			
617331	gene	91749	MFSD4B	ENSG00000173214
617332	gene	283847	TERB1	ENSG00000249961
617333	phenotype			
617334	gene	254887	ZDHHC23	ENSG00000184307
617335	gene	84650	EBPL	ENSG00000123179
617336	phenotype			
617337	phenotype			
617338	gene	84309	NUDT16L1	ENSG00000168101
617339	phenotype			
617340	gene	151531	UPP2	ENSG00000007001
617341	phenotype			
617342	gene	391356	PTRHD1	ENSG00000184924
617343	phenotype			
617344	gene	157285	PRAG1	ENSG00000275342
617345	gene	79841	AGBL2	ENSG00000165923
617346	gene	340351	AGBL3	ENSG00000146856
617347	phenotype			
617348	gene	119587	CPXM2	ENSG00000121898
617349	phenotype			
617350	phenotype			
617351	gene	285313	IGSF10	ENSG00000152580
617352	phenotype			
617353	gene	255758	DYNLT2B	ENSG00000213123
617354	gene	57332	CBX8	ENSG00000141570
617355	gene	126272	EID2B	ENSG00000176401
617356	gene	23145	SSPOP	ENSG00000197558
617357	gene	7673	ZNF222	ENSG00000159885
617358	gene	27111	SDCBP2	ENSG00000125775
617359	gene	56977	STOX2	ENSG00000173320
617360	phenotype			
617361	gene	66000	TMEM108	ENSG00000144868
617362	gene	57647	DHX37	ENSG00000150990
617363	gene	54972	TMEM132A	ENSG00000006118
617364	phenotype			
617365	gene	25980	AAR2	ENSG00000131043
617366	gene	55297	CCDC91	ENSG00000123106
617367	gene	56243	KIAA1217	ENSG00000120549
617368	gene	23616	SH3BP1	ENSG00000100092
617369	gene	22927	HABP4	ENSG00000130956
617370	phenotype			
617371	gene	58499	ZNF462	ENSG00000148143
617372	gene	399694	SHC4	ENSG00000185634
617373	gene	23215	PRRC2C	ENSG00000117523
617374	gene	388324	INCA1	ENSG00000196388
617375	gene	126823	KLHDC9	ENSG00000162755
617376	gene	147011	PROCA1	ENSG00000167525
617377	gene	85360	SYDE1	ENSG00000105137
617378	gene	29895	MYL11	ENSG00000180209
617379	gene	80179	MYO19	ENSG00000278259
617380	gene	90580	TIMM29	ENSG00000142444
617381	gene	131870	NUDT16	ENSG00000198585
617382	gene	10809	STARD10	ENSG00000214530
617383	phenotype			
617384	phenotype			
617385	gene	90423	ATP6V1E2	ENSG00000250565
617386	predominantly phenotypes	643609	NR1H5P	ENSG00000227970
617387	gene	54870	QRICH1	ENSG00000198218
617388	phenotype			
617389	phenotype			
617390	gene	158405	KIAA1958	ENSG00000165185
617391	phenotype			
617392	phenotype			
617393	phenotype			
617394	phenotype			
617395	phenotype			
617396	phenotype			
617397	phenotype			
617398	gene	23307	FKBP15	ENSG00000119321
617399	gene	5827	PXMP2	ENSG00000176894
617400	gene	79852	EPHX3	ENSG00000105131
617401	gene	253152	EPHX4	ENSG00000172031
617402	phenotype			
617403	phenotype			
617404	phenotype			
617405	phenotype			
617406	phenotype			
617407	gene	84333	PCGF5	ENSG00000180628
617408	phenotype			
617409	phenotype			
617410	gene	79744	ZNF419	ENSG00000105136
617411	gene	57221	ARFGEF3	ENSG00000112379
617412	phenotype			
617413	gene	58497	PRUNE1	ENSG00000143363
617414	gene	9045	RPL14	ENSG00000188846
617415	gene	6160	RPL31	ENSG00000071082
617416	gene	6123	RPL3L	ENSG00000140986
617417	gene	285855	RPL7L1	ENSG00000146223
617418	gene	79726	WDR59	ENSG00000103091
617419	gene	10609	P3H4	ENSG00000141696
617420	gene	144577	KICS2	ENSG00000174206
617421	gene	55846	ITFG2	ENSG00000111203
617422	gene	22850	ADNP2	ENSG00000101544
617423	gene	78994	PRR14	ENSG00000156858
617424	gene	80232	WDR26	ENSG00000162923
617425	phenotype			
